original_title,year,genre,country,votes
Miss Jerry,1894,Romance,USA,99
The Story of the Kelly Gang,1906,"Biography, Crime, Drama",Australia,99
Den sorte drøm,1911,Drama,"Germany, Denmark",99
Cleopatra,1911,"Drama, History",USA,99
L'Inferno,1911,"Adventure, Drama, Fantasy",Italy,99
"From the Manger to the Cross; or, Jesus of Nazareth",1911,"Biography, Drama",USA,100
Madame DuBarry,1911,"Biography, Drama, Romance",Germany,100
Quo Vadis?,1912,"Drama, History",Italy,100
Independenta Romaniei,1912,"History, War",Romania,100
Richard III,1912,Drama,"France, USA",100
Atlantis,1912,Drama,Denmark,100
Fantômas - À l'ombre de la guillotine,1912,"Crime, Drama",France,100
Ingeborg Holm,1913,Drama,Sweden,100
Juve contre Fantômas,1913,"Crime, Drama",France,100
Ma l'amor mio non muore...,1913,Drama,Italy,100
Maudite soit la guerre,1913,"Drama, War",Belgium,100
Le mort qui tue,1913,"Crime, Drama, Mystery",France,100
"Home, Sweet Home",1913,Drama,USA,100
Der Student von Prag,1913,"Drama, Fantasy, Horror",Germany,100
Traffic in Souls,1913,"Crime, Drama",USA,100
Gli ultimi giorni di Pompei,1913,"Adventure, Drama",Italy,100
Assunta Spina,1913,Drama,Italy,100
The Avenging Conscience: or 'Thou Shalt Not Kill',1913,"Crime, Drama, Horror",USA,100
The Bargain,1913,Western,USA,100
Cabiria,1913,"Adventure, Drama, History",Italy,100
Cinderella,1914,"Fantasy, Drama",USA,100
L'enfant de Paris,1914,"Crime, Drama",France,100
Fantômas contre Fantômas,1914,"Crime, Drama",France,100
A Florida Enchantment,1914,Comedy,USA,100
Der Golem,1914,Horror,Germany,100
Det hemmelighedsfulde X,1914,"Drama, Mystery",Denmark,100
"His Majesty, the Scarecrow of Oz",1914,"Family, Fantasy, Adventure",USA,100
Hypocrites,1914,Drama,USA,100
In the Land of the Head Hunters,1914,"Drama, History","USA, Canada",100
Judith of Bethulia,1914,Drama,USA,100
The Patchwork Girl of Oz,1914,"Adventure, Family, Fantasy",USA,100
The Perils of Pauline,1914,"Action, Adventure, Drama",USA,100
The Squaw Man,1914,"Action, Drama, Romance",USA,100
Tess of the Storm Country,1914,Drama,USA,100
Tillie's Punctured Romance,1914,Comedy,USA,100
A tolonc,1914,Drama,Hungary,100
Uncle Tom's Cabin,1914,Drama,USA,100
The Virginian,1914,Western,USA,100
The Wishing Ring: An Idyll of Old England,1914,"Comedy, Drama",USA,100
The Wrath of the Gods,1914,"Drama, Romance",USA,100
Alias Jimmy Valentine,1914,"Crime, Drama",USA,100
Alice in Wonderland,1914,"Adventure, Family, Fantasy",USA,100
The Birth of a Nation,1915,"Drama, History, War",USA,100
Carmen,1915,Drama,USA,100
The Cheat,1915,"Drama, Romance",USA,100
The Coward,1915,"Drama, History, War",USA,100
A Fool There Was,1915,Drama,USA,100
The Golden Chance,1915,Drama,USA,100
Hævnens Nat,1915,"Crime, Drama, Horror",Denmark,100
The Italian,1915,Drama,USA,100
Maciste,1915,Adventure,Italy,100
Martyrs of the Alamo,1915,"Drama, History, War",USA,100
The Nigger,1915,Drama,USA,100
Posle smerti,1915,Drama,Russia,100
Rapsodia satanica,1915,"Drama, Fantasy, Horror",Italy,100
The Regeneration,1915,"Biography, Crime, Drama",USA,100
Les vampires,1915,"Action, Adventure, Crime",France,100
Young Romance,1915,Comedy,USA,100
"20,000 Leagues Under the Sea",1915,"Action, Adventure, Sci-Fi",USA,100
The Children in the House,1915,Drama,USA,100
Civilization,1915,Drama,USA,100
The Devil's Needle,1915,Drama,USA,100
Dödskyssen,1915,"Comedy, Crime, Drama",Sweden,100
Flirting with Fate,1915,"Adventure, Comedy",USA,100
Going Straight,1915,"Crime, Drama",USA,100
The Good Bad-Man,1916,"Romance, Western",USA,100
Gretchen the Greenhorn,1916,"Crime, Drama, Romance",USA,100
The Half-Breed,1916,Western,USA,100
Hell's Hinges,1916,"Romance, Western",USA,100
His Picture in the Papers,1916,Comedy,USA,100
Hoodoo Ann,1916,"Comedy, Drama, Romance",USA,100
Intolerance: Love's Struggle Throughout the Ages,1916,"Drama, History",USA,100
Judex,1916,"Adventure, Crime",France,100
The Matrimaniac,1916,"Comedy, Romance",USA,100
Pikovaya dama,1916,"Drama, Fantasy, Horror",Russia,100
Reggie Mixes In,1916,"Action, Comedy, Drama",USA,100
The Return of Draw Egan,1916,"Action, Adventure, Romance",USA,100
Schuhpalast Pinkus,1916,Comedy,Germany,100
Sherlock Holmes,1916,Mystery,USA,100
Shoes,1916,Drama,USA,100
Snow White,1916,"Fantasy, Romance",USA,100
The Social Secretary,1916,"Comedy, Drama",USA,100
Vingarne,1916,Drama,Sweden,100
Where Are My Children?,1916,Drama,USA,100
'49-'17,1916,"Drama, Western",USA,100
Bucking Broadway,1916,Western,USA,100
Cleopatra,1916,"Biography, Drama, History",USA,100
Furcht,1916,Horror,Germany,100
A Girl's Folly,1916,Comedy,USA,100
Himmelskibet,1916,"Adventure, Fantasy, Sci-Fi",Denmark,100
Joan the Woman,1916,"Adventure, Drama, History",USA,100
The Little American,1916,"Drama, Romance, War",USA,100
The Little Princess,1916,Drama,USA,100
Mater dolorosa,1916,Drama,France,100
A Modern Musketeer,1916,"Adventure, Comedy, Western",USA,100
Otets Sergiy,1916,"Biography, Drama, History",Russia,100
The Poor Little Rich Girl,1916,"Comedy, Drama, Family",USA,100
"Raffles, the Amateur Cracksman",1916,"Adventure, Crime, Romance",USA,100
Rebecca of Sunnybrook Farm,1916,"Comedy, Drama",USA,100
A Romance of the Redwoods,1916,"Adventure, Comedy, Drama",USA,100
Satana likuyushchiy,1917,Drama,Russia,100
Straight Shooting,1917,Western,USA,100
A Tale of Two Cities,1917,"Drama, History, Romance",USA,100
Terje Vigen,1917,"Drama, War",Sweden,100
Thomas Graals bästa film,1917,Comedy,Sweden,100
Tillie Wakes Up,1917,Comedy,USA,100
Tom Sawyer,1917,"Adventure, Comedy, Drama",USA,100
Tösen från Stormyrtorpet,1917,Drama,Sweden,100
Wild and Woolly,1917,"Comedy, Western, Romance",USA,100
Amarilly of Clothes-Line Alley,1917,"Comedy, Romance",USA,100
Az aranyember,1917,Drama,Hungary,100
Die Augen der Mumie Ma,1917,"Drama, Horror",Germany,100
Berg-Ejvind och hans hustru,1917,Drama,Sweden,100
The Blue Bird,1917,"Family, Fantasy",USA,100
Broadway Love,1917,Romance,USA,100
Carmen,1917,Drama,Germany,100
La dixième symphonie,1917,Drama,France,100
Das fidele Gefängnis,1917,Comedy,Germany,100
The Forbidden City,1917,"Drama, Romance",USA,100
Hearts of the World,1917,"Drama, War",USA,100
Hell Bent,1917,Western,USA,100
Johanna Enlists,1917,"Comedy, Romance",USA,100
M'Liss,1917,"Comedy, Drama",USA,100
The Married Virgin,1917,Drama,USA,100
Mickey,1917,"Comedy, Drama",USA,100
Old Wives for New,1918,Drama,USA,100
A Pair of Silk Stockings,1918,"Comedy, Romance",USA,100
A Romance of Happy Valley,1918,"Drama, Romance",USA,100
Shifting Sands,1918,Drama,USA,100
Shoulder Arms,1918,"Comedy, War",USA,100
Stella Maris,1918,Drama,USA,100
Tarzan of the Apes,1918,"Action, Adventure",USA,100
Tih Minh,1918,"Adventure, Mystery",France,100
The Unbeliever,1918,"Drama, War",USA,100
The Whispering Chorus,1918,Drama,USA,100
Anders als die Andern,1918,"Crime, Drama, History",Germany,100
Ravished Armenia,1918,"Drama, History, Romance",USA,100
Die Austernprinzessin,1918,Comedy,Germany,100
El automóvil gris,1918,"Action, Crime",Mexico,100
Back to God's Country,1918,"Adventure, Romance, Western",Canada,100
Behind the Door,1918,"Drama, Thriller, War",USA,100
Blind Husbands,1918,"Drama, Romance",USA,100
Broken Blossoms or The Yellow Man and the Girl,1918,"Drama, Romance",USA,100
The Busher,1918,"Drama, Sport",USA,100
Daddy-Long-Legs,1918,"Comedy, Drama",USA,100
The Delicious Little Devil,1918,"Comedy, Drama",USA,100
Don't Change Your Husband,1918,Comedy,USA,100
Eyes of Youth,1918,Drama,USA,100
"For Better, for Worse",1918,Drama,USA,100
Getting Mary Married,1918,Comedy,USA,100
The Greatest Question,1918,Drama,USA,100
The Grim Game,1918,"Adventure, Drama",USA,100
Harakiri,1918,Drama,Germany,100
Hawthorne of the U.S.A.,1919,"Adventure, Comedy, Romance",USA,100
Heart o' the Hills,1919,"Drama, Romance",USA,100
Herr Arnes pengar,1919,"Drama, History",Sweden,100
The Hoodlum,1919,Comedy,USA,100
Ich möchte kein Mann sein,1919,"Comedy, Romance",Germany,100
Ingmarssönerna,1919,Drama,Sweden,100
J'accuse,1919,"Drama, Horror, War",France,100
Das Cabinet des Dr. Caligari,1919,"Fantasy, Horror, Mystery",Germany,100
Male and Female,1919,"Adventure, Drama",USA,100
Meyer aus Berlin,1919,Comedy,Germany,100
The Miracle Man,1919,Drama,USA,100
The Mother and the Law,1919,Drama,USA,100
Die Pest in Florenz,1919,"Drama, History, Horror",Germany,100
Præsidenten,1919,Drama,Denmark,100
Die Puppe,1919,"Comedy, Fantasy",Germany,100
The Roaring Road,1919,"Comedy, Drama, Sport",USA,100
Scarlet Days,1919,"Adventure, Romance, Western",USA,100
The Sentimental Bloke,1919,"Drama, Romance",Australia,100
"Die Spinnen, 1. Teil - Der Goldene See",1919,"Adventure, Western",Germany,100
Sången om den eldröda blomman,1919,"Drama, Romance",Sweden,100
True Heart Susie,1919,"Comedy, Drama, Romance",USA,100
Unheimliche Geschichten,1919,"Fantasy, Horror, Mystery",Germany,100
Victory,1919,"Drama, Romance",USA,100
Wagon Tracks,1919,Western,USA,100
When the Clouds Roll by,1919,"Action, Comedy, Romance",USA,100
The Wicked Darling,1919,"Drama, Crime",USA,100
Yankee Doodle in Berlin,1919,Comedy,USA,100
Algol - Tragödie der Macht,1919,"Fantasy, Sci-Fi",Germany,100
Anna Boleyn,1919,"Biography, Drama, Romance",Germany,100
April Folly,1919,"Drama, Crime",USA,100
